序号,品牌,名称,类型,出厂年份,颜色,价格,电池得分,外观得分,硬盘容量得分,价格得分,处理器得分,屏幕分辨率得分,尺寸得分,重量
139,华为,HUAWEI MateBook 13,轻薄本,2019,sliver grey,6099,0.50168,0.65758,0.79429,0.42084,0.6708,0.52268,0.45689,2.1
140,ThinkPad,ThinkPad E480,轻薄本,2018,sliver,3999,0.49837,0.5,0.65422,0.33181,0.55241,0.5,0.4892,2.66
141,ThinkPad,ThinkPad E480,轻薄本,2018,sliver,4999,0.49837,0.5,0.65422,0.37773,0.6708,0.5,0.4892,2.66
142,ThinkPad,ThinkPad E480,轻薄本,2018,sliver,6499,0.49837,0.5,0.79429,0.43734,0.6708,0.5,0.4892,2.68
143,ThinkPad,ThinkPad E490,轻薄本,2019,sliver,5899,0.49837,0.5,0.65422,0.41286,0.55241,0.5,0.4892,2.64
144,ThinkPad,ThinkPad E490,轻薄本,2019,sliver,6649,0.49837,0.5,0.65422,0.44387,0.6708,0.5,0.4892,2.64
145,ThinkPad,ThinkPad E490,轻薄本,2019,sliver,7499,0.49837,0.5,0.79429,0.48065,0.60001,0.5,0.4892,2.64
146,ThinkPad,ThinkPad X390 Yoga,商务本,2019,black,7499,0.61307,0.65758,0.65422,0.48065,0.49461,0.5,0.45966,2.04
147,ThinkPad,ThinkPad X390 Yoga,商务本,2019,black,10499,0.61307,0.65758,0.79429,0.68338,0.58124,0.5,0.45966,2.04
148,ThinkPad,ThinkPad X1隐士,开发本,2019,black,16999,0.61307,0.56749,0.8445,0.86096,0.70225,0.67884,0.67524,3.14
149,ThinkPad,ThinkPad P1 隐士,开发本,2019,black,12999,0.61307,0.56749,0.65422,0.84393,0.6708,0.5,0.67524,3.21
150,ThinkPad,ThinkPad P1 隐士,开发本,2019,black,18999,0.61307,0.56749,0.79429,0.86097,0.70225,0.67884,0.67524,3.351
151,ThinkPad,ThinkPad P1 隐士,开发本,2019,black,14999,0.61307,0.56749,0.79429,0.84397,0.70225,0.5,0.67524,3.351
152,LG,LG Gram 17Z990,高端本,2019,white grey,7989,0.80594,0.65758,0.65422,0.49957,0.49461,0.5,0.74311,2.54
153,LG,LG Gram 17Z990,高端本,2019,white grey,11449,0.80594,0.65758,0.79429,0.77373,0.58124,0.5,0.74311,2.54
154,LG,LG Gram 17Z990,高端本,2019,white grey,9949,0.80594,0.65758,0.79429,0.6269,0.58124,0.5,0.67524,2.2
155,LG,LG Gram 17Z990,高端本,2019,white grey,7189,0.80594,0.65758,0.65422,0.46791,0.49461,0.5,0.67524,2.2
156,LG,LG Gram 17Z990,高端本,2019,white grey,8749,0.80594,0.65758,0.79429,0.53392,0.58124,0.5,0.4892,1.95
157,技嘉,技嘉 AERO15,开发本,2019,black,12099,0.42769,0.34242,0.79429,0.81567,0.70225,0.5,0.67524,3
